m6,m5,m4,m3,m2,m1,n
29.572,29.097,29.296,28.683,28.782,29.815,29.89
29.097,29.296,28.683,28.782,29.815,29.89,30.124
29.296,28.683,28.782,29.815,29.89,30.124,29.522
28.683,28.782,29.815,29.89,30.124,29.522,30.135
28.782,29.815,29.89,30.124,29.522,30.135,30.135
29.815,29.89,30.124,29.522,30.135,30.135,30.543
29.89,30.124,29.522,30.135,30.135,30.543,30.509
30.124,29.522,30.135,30.135,30.543,30.509,31.675
29.522,30.135,30.135,30.543,30.509,31.675,32.27
30.135,30.135,30.543,30.509,31.675,32.27,31.975
30.135,30.543,30.509,31.675,32.27,31.975,33.121
30.543,30.509,31.675,32.27,31.975,33.121,33.743
30.509,31.675,32.27,31.975,33.121,33.743,33.79
31.675,32.27,31.975,33.121,33.743,33.79,33.555
32.27,31.975,33.121,33.743,33.79,33.555,33.29
31.975,33.121,33.743,33.79,33.555,33.29,33.837
33.121,33.743,33.79,33.555,33.29,33.837,34.204
33.743,33.79,33.555,33.29,33.837,34.204,33.779
33.79,33.555,33.29,33.837,34.204,33.779,33.78
33.555,33.29,33.837,34.204,33.779,33.78,34.225
33.29,33.837,34.204,33.779,33.78,34.225,33.734
33.837,34.204,33.779,33.78,34.225,33.734,33.948
34.204,33.779,33.78,34.225,33.734,33.948,33.635
33.779,33.78,34.225,33.734,33.948,33.635,33.753
33.78,34.225,33.734,33.948,33.635,33.753,33.379
34.225,33.734,33.948,33.635,33.753,33.379,33.438
33.734,33.948,33.635,33.753,33.379,33.438,33.402
33.948,33.635,33.753,33.379,33.438,33.402,33.247
33.635,33.753,33.379,33.438,33.402,33.247,34.429
33.753,33.379,33.438,33.402,33.247,34.429,34.464
33.379,33.438,33.402,33.247,34.429,34.464,34.289
33.438,33.402,33.247,34.429,34.464,34.289,35.596
33.402,33.247,34.429,34.464,34.289,35.596,35.379
33.247,34.429,34.464,34.289,35.596,35.379,35.567
34.429,34.464,34.289,35.596,35.379,35.567,37.205
34.464,34.289,35.596,35.379,35.567,37.205,34.642
34.289,35.596,35.379,35.567,37.205,34.642,35.661
35.596,35.379,35.567,37.205,34.642,35.661,34.525
35.379,35.567,37.205,34.642,35.661,34.525,33.695
35.567,37.205,34.642,35.661,34.525,33.695,32.783
37.205,34.642,35.661,34.525,33.695,32.783,33.585
34.642,35.661,34.525,33.695,32.783,33.585,33.831
35.661,34.525,33.695,32.783,33.585,33.831,34.212
34.525,33.695,32.783,33.585,33.831,34.212,33.413
33.695,32.783,33.585,33.831,34.212,33.413,33.581
32.783,33.585,33.831,34.212,33.413,33.581,32.181
